rule_id,rule_name,Why it Matters,Rule Description,Disabilities Affected,Description,Impact,Tags,Issue Type,ACT Rules
landmark-unique,Landmarks must have a unique role or role/label/title (i.e. accessible name) combination,"landmark-unique is a new best practice rule ensures that
  landmarks have a unique role or accessible name (i.e. role, label, title)
  combination.","Landmarks must have a unique role or role/label/title (i.e. accessible name)
combination.","Sighted Keyboard Users, Blind, Deafblind",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Moderate,"cat.semantics, best-practice",failure,
valid-lang,lang attribute must have a valid value,"When configuring a screen reader, users select a default language. If the
  language of a webpage is not specified, the screen reader assumes it is the
  default language set by the user. Language selection becomes an issue for
  users who speak multiple languages and access the website in more than one
  language. It is essential to specify a language and ensure that it is valid so
  website text is pronounced correctly.


  Screen readers use different sound libraries for each language, based on the
  pronunciation and characteristics of that language. Screen readers can switch
  between these language libraries easily, but only if the documents specify
  which language(s) to read. If the language is not specified, the screen reader
  reads the document in the user's default language, resulting in a confusing
  experience!","The language specified in the HTML document must be one of the valid languages
  to ensure text is pronounced correctly for screen reader users.","Blind, Deafblind, Cognitive",Ensures lang attributes have valid values,Serious,"cat.language, wcag2aa, wcag312, TTv5, TT11.b, EN-301-549, EN-9.3.1.2, ACT",failure,de46e4
layout-table,Layout tables must not use data table elements,"If a table is being used only for layout, it doesn't make sense to add
  elements that belong only to data tables. Aside from being unnecessary, such
  elements can confuse users of screen readers, since the assistive technology
  announces these elements in a particular way. If these elements are present,
  users might expect a data table and be confused when this is not what the
  cells contain.


  With broad adoption of CSS for beautiful page layouts, it is no longer
  necessary or desirable to use tables to structure a page. The use of real data
  tables, with properly marked-up table headers, allow screen reader users to
  navigate from cell to cell and hear the headers announced.","If a table is being used for layout purposes only, it must not use data table
  elements such as a header, caption, and summary to prevent confusion by screen
  reader users who would otherwise expect data to be contained within the cells.","Blind, Deafblind, Mobility",,,,,
link-in-text-block,Links must be distinguished from surrounding text in a way that does not rely on color,"Some people with low vision experience low contrast, meaning that there aren't
  very many bright or dark areas. Everything tends to appear about the same
  brightness, which makes it hard to distinguish outlines, borders, edges, and
  details. Text that is too close in luminance (brightness) to the background
  can be hard to read.


  There are nearly three times more individuals with low vision than those with
  total blindness. One person in twelve has a color deficiency - about 8% of men
  and 0.4% of women in the US. A person with low vision or color blindness is
  unable to distinguish text against a background without sufficient contrast.


  When a sufficient color contrast ratio of 3:1 is not present to distinguish
  link text color from surrounding text color, users with low vision who
  experience low contrast cannot detect visually that the text is intended to
  function as a link.","Ensures users who cannot distinguish between colors can tell when text is a
  link by verifying the link has either a distinct style that does not rely on
  color or has a contrast difference of greater than 3:1 (which alerts you that
  manual testing is required).","Low Vision, Colorblindness",Ensure links are distinguished from surrounding text in a way that does not rely on color,Serious,"cat.color, wcag2a, wcag141, TTv5, TT13.a, EN-301-549, EN-9.1.4.1","failure, needs review",
link-name,Links must have discernible text,"Inaccessible link elements pose barriers to accessibility, as they are a
      fundamental component of a website.
    



      Users who rely exclusively on a keyboard (and no mouse) to navigate a
      webpage can only click on links that can receive programmatic focus. A
      link that cannot receive programmatic focus is inaccessible to these
      users.
    



      Like sighted users, screen reader users need to know where a link is
      pointing. Inner link text provides this information, though it won't get
      used if a screen reader can't access it.
    



      Keyboard users, including visually impaired screen reader users or people
      who cannot use a mouse, can activate only the links and form elements that
      can receive programmatic focus. Any events activated exclusively by other
      types of focus, for example onmouseover events that depend on
      the mouse hover focus, are inaccessible to keyboard users. Only links and
      form elements receive keyboard focus by default. Modify elements that are
      not links or form components to receive focus by adding
      tabindex=""0"".","Link text and alternate text for images, when used as links, must be
  discernible by a screen reader, must not have a duplicate label, and must be
  focusable.","Blind, Deafblind, Mobility",Ensures links have discernible text,Serious,"cat.name-role-value, wcag2a, wcag244, wcag412, section508, section508.22.a, TTv5, TT6.a, EN-301-549, EN-9.2.4.4, EN-9.4.1.2, ACT","failure, needs review",c487ae
landmark-main-is-top-level,Main landmark must not be contained in another landmark,"Navigating a web page is far simpler for screen reader users if the content
  splits between some high-level sections. Content outside of these sections is
  difficult to find, and its purpose may be unclear.


  HTML has historically lacked some key semantic markers, such as the ability to
  designate sections of the page as the header, navigation, main content, and
  footer. Using both HTML5 elements and ARIA landmarks in the same element is
  considered a best practice, but the future probably favors HTML regions as
  browser support increases.


  The HTML Living Standard states ""A hierarchically correct main element is one
  whose ancestor elements are limited to <html>,
  <body>, <div>,
  <form without an accessible name, and autonomous custom
  elements. Each main element must be a hierarchically correct main element.""
  This may reflect a ""best practice"" based on W3C validation.","It is a best practice to ensure the main landmark is not contained within
  another landmark. All content should be contained within distinct regions such
  as the header (role=""banner""), content
  (role=""main""), and footer (role=""contentinfo"").","Blind, Deafblind, Mobility",Ensures the main landmark is at top level,Moderate,"cat.semantics, best-practice",failure,
nested-interactive,Nested interactive controls are not announced by screen readers,"Focusable elements with an interactive control ancestor (any element that
  accepts user input such as button or anchor elements) are not announced by
  screen readers and create an empty tab stop. That is, you could tab to the
  element but the screen reader will not announce its name, role, or state.",Nested interactive controls are not announced by screen readers,"Blind, Mobility",Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,Serious,"cat.keyboard, wcag2a, wcag412, TTv5, TT6.a, EN-301-549, EN-9.4.1.2","failure, needs review",307n5z
page-has-heading-one,Page must contain a level-one heading,"Screen reader users can use keyboard shortcuts to navigate directly to the
  first h1, which, in principle, should allow them to jump directly
  to the main content of the web page. If there is no h1, or if the
  h1 appears somewhere other than at the start of the main content,
  screen reader users must listen to more of the web page to understand its
  structure, wasting valuable time.


  Keep in mind that blind users can't just look at a web page and immediately
  understand its layout the way that a visual user can. Visual users can take in
  much information about the page layout without having to read all of the
  content. Blind users don't have that luxury. Screen readers read linearly,
  which means listening to the entire web page unless there is some other
  convenient way to get a ""glimpse"" of the page's layout and structure. It turns
  out that headings are a way to do that. Screen reader users can use keyboard
  shortcuts to navigate through the heading structure of a document.","Ensures that the page, or at least one of its frames, contains an
  h1 element that appears before the start of the main content to
  allow screen reader users to use keyboard shortcuts to navigate the heading
  structure instead of wasting time listening to more of the web page to
  understand its structure.","Sighted Keyboard Users, Blind, Low Vision, Deafblind","Ensure that the page, or at least one of its frames contains a level-one heading",Moderate,"cat.semantics, best-practice",failure,
bypass,Page must have means to bypass repeated blocks,"Since web sites often display secondary, repeated content on multiple pages
  (such as navigation links, heading graphics, and advertising frames),
  keyboard-only users benefit from faster, more direct access to the primary
  content on a page. This reduces keystrokes and minimizes associated physical
  pain.


  For users who cannot use a mouse, navigating with a keyboard is more difficult
  and time-consuming when the interface does not include methods to make
  keyboard navigation easier. For example, to activate a link in the middle of a
  web page, a keyboard user may have to tab through a large number of links and
  buttons in the header and main navigation of the page.


  At the extreme end, users with severe motor limitations might require several
  minutes to tab through all of those elements, and can lead to fatigue and
  possible physical pain for some users. Even users with less severe constraints
  will require longer than mouse users, who can click on the desired link in a
  second or two.","Each page must have a main landmark to provide a mechanism to
  bypass repeated blocks of content or interface elements (like header and
  navigation) and quickly arrive at the main content.","Blind, Deafblind",Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content,Serious,"cat.keyboard, wcag2a, wcag241, section508, section508.22.o, TTv5, TT9.a, EN-301-549, EN-9.2.4.1",needs review,"cf77f2, 047fe0, b40fd1, 3e12e1, ye5d6e"
landmark-one-main,Page must have one main landmark,"Navigating a web page is far simpler for screen reader users if all of the
  content splits between one or more high-level sections. Content outside of
  these sections is difficult to find, and its purpose may be unclear.


  HTML has historically lacked some key semantic markers, such as the ability to
  designate sections of the page as the header, navigation, main content, and
  footer. Using both HTML5 elements and ARIA landmarks in the same element is
  considered a best practice, but the future will favor HTML regions as browser
  support increases.","It is a best practice to ensure that there is only one main landmark to
  navigate to the primary content of the page and that if the page contains
  iframe elements, each should either contain no landmarks, or just
  a single landmark.","Blind, Deafblind, Mobility",Ensures the document has a main landmark,Moderate,"cat.semantics, best-practice",failure,
landmark-no-duplicate-banner,Page must not have more than one banner landmark,"Landmarks allow blind users to navigate and find content quickly. Missing
  landmarks require screen reader users to sort through too much extra
  information to find anything.


  JAWS, NVDA, and VoiceOver support the ability to navigate to sections of a web
  page using ARIA landmarks. Landmarks provide a more elegant solution to the
  problem of providing a way for users to skip to the main content of the web
  page. There is no visible alteration to the web design, making it unobtrusive
  and invisible. Of course, the fact that this technique is invisible is fine
  for blind screen reader users, but not so fine for sighted keyboard users or
  screen enlarger users with low vision. In this sense, HTML 5 regions and ARIA
  landmarks cannot yet replace the old-fashioned ""skip navigation"" links.
  Browsers still do not have a built-in way to notify users that HTML 5 regions
  or ARIA landmarks are present. Screen reader users are the only ones who can
  take advantage of them. There is a
  Firefox ARIA landmark extension
    
  available, which adds the ability to navigate by landmarks in Firefox, but
  this is not a native feature of the browser.",Ensures the page has at most one banner landmark.,"Sighted Keyboard Users, Blind, Deafblind",Ensures the document has at most one banner landmark,Moderate,"cat.semantics, best-practice",failure,
landmark-no-duplicate-contentinfo,Page must not have more than one contentinfo landmark,"One of the main purposes of landmarks is to allow blind users to quickly find
  and navigate to the appropriate landmark, so you should keep the total number
  of landmarks relatively low. If you don't, screen reader users will have to
  sort through too much extra information to find what they're looking for.


  Despite all of the talk about using correct semantic structure for
  accessibility, HTML has historically lacked some key semantic markers, such as
  the ability to designate sections of the page as the header, navigation, main
  content, and footer. With HTML5, these designations are possible, using the
  new elements header, nav, main, and
  footer. Similar functionality is available using the ARIA
  (Accessible Rich Internet Application) attributes role=""banner"",
  role=""navigation"", role=""main"" and
  role=""contentinfo"".


  JAWS, NVDA, and VoiceOver support the ability to navigate to sections of a web
  page using ARIA landmarks. Landmarks provide a more elegant solution to the
  problem of providing a way for users to skip to the main content of the web
  page. There is no visible alteration to the web design, making it unobtrusive
  and invisible. Of course, the fact that this technique is invisible is fine
  for blind screen reader users, but not so fine for sighted keyboard users or
  screen enlarger users with low vision. In this sense, HTML 5 regions and ARIA
  landmarks cannot yet replace the old-fashioned ""skip navigation"" links.
  Browsers still do not have a built-in way to notify users that HTML 5 regions
  or ARIA landmarks are present. Screen reader users are the only ones who can
  take advantage of them. There is a
  Firefox ARIA landmark extension
    
  available, which adds the ability to navigate by landmarks in Firefox, but
  this is not a native feature of the browser.",Ensures the page has at most one contentinfo landmark.,"Sighted Keyboard Users, Blind, Deafblind",Ensures the document has at most one contentinfo landmark,Moderate,"cat.semantics, best-practice",failure,
radiogroup,Radio inputs with the same name attribute value must be part of a group,"It is often easy for sighted users to understand the purpose of a group of
  radio buttons based on context. Screen reader users require announcements and
  explanations of the currently focused content. Grouping buttons together
  programmatically under a descriptive name eliminates the ambiguity screen
  reader users experience to create a more accessible product.


  When screen reader users arrive at a set of radio buttons, that are related -
  that is when they all submit values for a single named field - the individual
  label associated with each radio control may not adequately convey the group's
  descriptive context.",Radio buttons that relate to each other must share a common label.,"Blind, Deafblind, Mobility",,,,,
aria-required-attr,Required ARIA attributes must be provided,"ARIA widget roles require additional attributes that describe the state of the
  widget. The state of the widget is not communicated to screen reader users if
  a required attribute is omitted.


  Certain roles act as composite user interface widgets. As such, they typically
  act as containers that manage other, contained widgets. When an object
  inherits from multiple ancestors and one ancestor indicates support for one
  property while another ancestor indicates that the same property is required,
  the property becomes required on the inheriting object. In some cases, default
  values are sufficient to meet ARIA attribute requirements.


  When required state and property attributes for specific roles (and subclass
  roles) are not present, screen readers may not be able to convey the
  definition of what the element's role is to the users.","ARIA widget roles must have appropriate attributes describing the state or
  properties of the widget.","Blind, Deafblind, Mobility",Ensures elements with ARIA roles have all required ARIA attributes,Critical,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2",failure,4e8ab6
scope-attr-valid,Scope attribute should be used correctly on tables,"The scope attribute makes table navigation much easier for screen
  reader users, provided that it is used correctly. Incorrectly used,
  scope can make table navigation much harder and less efficient.


  A screen reader operates under the assumption that a table has a header and
  that this header specifies a scope. Because of the way screen readers
  function, having an accurate header makes viewing a table far more accessible
  and more efficient for people who use the device.","The scope attribute must be used correctly on tables in
  accordance with either HTML4 or HTML5 specifications to enable efficient table
  navigation for screen reader users.","Blind, Deafblind, Mobility",Ensures the scope attribute is used correctly on tables,Moderate,"cat.tables, best-practice",failure,
select-name,select element must have an accessible name,"Effective form labels are required to make forms accessible. The purpose of
  form elements such as checkboxes, radio buttons, input fields, etcetera, is
  often apparent to sighted users, even if the form element is not
  programmatically labeled. Screen readers users require useful form labels to
  identify form fields. Adding a label to all form elements eliminates ambiguity
  and contributes to a more accessible product.


  When labels for form elements are absent, screen reader users do not know the
  input data expectations. Screen readers cannot programmatically determine
  information about input objects without an established label relationship (or
  redundant text serving as a label).",Each select element must have a programmatically associated label element.,"Blind, Low Vision, Mobility",Ensures select element has an accessible name,Critical,"cat.forms, wcag2a, wcag412, section508, section508.22.n, TTv5, TT5.c, EN-301-549, EN-9.4.1.2, ACT","failure, needs review",e086e5
server-side-image-map,Server-side image maps must not be used,"Server-side image maps are not keyboard accessible; mouse clicks are required
  to access the links contained in the image, making the image inaccessible to
  people who only use keyboards for their navigation.


  Server side image maps pass the coordinates of the mouse click to the
  server-side script used to process the image map. Because they rely on mouse
  clicks, they are not keyboard accessible, whereas client-side image maps are
  keyboard accessible. Further, it is not possible to provide text alternatives
  to the actionable areas of a server-side image map like you can with the
  areas of a client-side image map.",The document contains an image map that is server-side instead of client-side.,"Blind, Deafblind, Mobility",Ensures that server-side image maps are not used,Minor,"cat.text-alternatives, wcag2a, wcag211, section508, section508.22.f, TTv5, TT4.a, EN-301-549, EN-9.2.1.1",needs review,
svg-img-alt,SVG images and graphics require accessible text,"The intent of
  Success Criterion 1.1.1
  is to make information conveyed by non-text content (including SVG images)
  accessible through the use of a text alternative. Text alternatives are a
  primary way for making information accessible because they can be rendered
  through any sensory modality (for example, visual, auditory or tactile) to
  match the needs of the user. Providing text alternatives allows the
  information to be rendered in a variety of ways by a variety of user agents.
  For example, a person who cannot see a picture can have the text alternative
  read aloud using synthesized speech. A person who cannot hear an audio file
  can have the text alternative displayed so that he or she can read it. In the
  future, text alternatives will also allow information to be more easily
  translated into sign language or into a simpler form of the same language.","Ensures SVG elements with an <img>, graphics-document or
  graphics-symbol role have an accessible text alternative.","Blind, Deafblind, Mobility","Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text",Serious,"cat.text-alternatives, wcag2a, wcag111, section508, section508.22.a, TTv5, TT7.a, EN-301-549, EN-9.1.1.1, ACT","failure, needs review",7d6734
color-contrast,Text elements must have sufficient color contrast against the background,"Some people with low vision experience low contrast, meaning that there aren't
  very many bright or dark areas. Everything tends to appear about the same
  brightness, which makes it hard to distinguish outlines, borders, edges, and
  details. Text that is too close in luminance (brightness) to the background
  can be hard to read.


  There are nearly three times more individuals with low vision than those with
  total blindness. One in twelve people cannot see the average full spectrum of
  colors - about 8% of men and 0.4% of women in the US. A person with low vision
  or color blindness is unable to distinguish text against a background without
  sufficient contrast.

Color transparency and opacity is taken into account in the background.

  Color transparency and opacity in the foreground is more difficult to detect
  and account for due to:


1:1 colors in foreground and background.
CSS background gradients.
Background colors in CSS pseudo-elements.
Background colors created with CSS borders.

    Overlap by another element in the foreground - this sometimes comes up with
    tricky positioning.
  
Elements moved outside the viewport via CSS.","All text elements must have sufficient contrast between text in the foreground
  and background colors behind it in accordance with WCAG 2 AA contrast ratio
  thresholds.","Low Vision, Colorblindness",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Serious,"cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT","failure, needs review","afw4f7, 09o5cg"
image-redundant-alt,Text of buttons and links should not be repeated in the image alternative,"It is unnecessary and potentially confusing to have alternative text for a
  link or image to be repeated in text adjacent to the link or image since it
  would be read twice by a screen reader.


  Since image buttons use alt attributes for labels, the labels must not
  duplicate the text next to the button. Duplicated alternative text for an
  image or link in the text adjacent to that image or link results in screen
  readers announcing the text to the user twice.","When button and link text repeats in a alt attribute value,
  screen reader users hear the same information twice, which renders the alt
  text meaningless and confusing.","Blind, Deafblind",Ensure image alternative is not repeated as text,Minor,"cat.text-alternatives, best-practice",failure,
table-duplicate-name,The <caption> element should not contain the same text as the summary attribute,"Screen readers have a specific way of announcing tables. When tables are not
  properly marked up, this creates the opportunity for confusing or inaccurate
  screen reader output.


  When tables have summary and caption text that is identical, screen reader
  users can be confused and find it difficult to know the name and purpose of
  the table.","Data table markup can be tedious and confusing. Make sure the caption and
  summary table attributes are not identical. Screen readers have some features
  to manage table navigation, but tables must be marked up accurately for these
  features to work correctly.","Blind, Deafblind",Ensure the <caption> element does not contain the same text as the summary attribute,Minor,"cat.tables, best-practice","failure, needs review",
skip-link,The skip-link target should exist and be focusable,"Screen readers announce content sequentially as it appears in the HTML file.
  What this means for users of assistive technology is that the content at the
  top of the page, typically including the entire navigation, is read out to the
  user before reaching any of the main content. Since content at the top of the
  page can often be very lengthy, it can be time-consuming to listen to or tab
  through all of it when the user is only interested in the main content.
  Including a skip link in an HTML page is beneficial to blind users, users with
  low vision, and mouse-only users.","The page must have a link at the top before the navigation that allows users
  to skip lengthy navigation and proceed to a page's main content to save time.","Blind, Deafblind, Mobility",Ensure all skip links have a focusable target,Moderate,"cat.keyboard, best-practice","failure, needs review",
meta-refresh,Timed refresh must not exist,"Since users do not expect a page to refresh automatically, such refreshing can
  be disorienting. Refreshing also moves the programmatic focus back to the top
  of the page, away from where the user had it. Such resetting is frustrating
  for users.


  Redirection and page refresh through the use of the
  <meta> element is problematic for users with disabilities
  in many ways. The primary reason why redirects and refreshes are problematic
  is that the user has no control over when the redirect or refresh occurs. If
  the purpose of the <meta> element is to redirect the user
  to a new location, server-side means should be employed instead of
  client-side. Content that moves or auto-updates can be a barrier to anyone who
  has trouble reading the stationary text as quickly as well as to anyone who
  has trouble tracking moving objects. It can also cause problems for screen
  readers.","The document must not use
  <meta http-equiv=""refresh""> because it can prevent control
  over when the refresh occurs for users with disabilities.","Blind, Deafblind, Mobility","Ensures <meta http-equiv=""refresh""> is not used for delayed refresh",Critical,"cat.time-and-media, wcag2a, wcag221, TTv5, TT8.a, EN-301-549, EN-9.2.2.1",failure,"bc659a, bisz58"
aria-dpub-role-fallback,Unsupported DPUB ARIA roles should be used on elements with implicit fallback roles,"When a Digital Publishing Role that is not supported is conveyed via a role
  attribute value, semantic information can only be conveyed to screen reader
  users via native HTML elements that have similar semantics for fallback.


  Proposed or recommended specifications such as WAI-ARIA DPUB roles are subject
  to becoming obsolete or remaining preliminary prototypes when not supported.


  When there is no fallback role specified, assistive technologies such as
  screen readers may not be able to convey missing semantic and interaction
  information intended by the author to users.","When a Digital Publishing Role that is not supported is conveyed via a role
  attribute value, semantic information can only be conveyed to screen reader
  users via native HTML elements that have similar semantics for fallback.","Blind, Low Vision, Deafblind",,,,,
aria-roledescription,Use aria-roledescription on elements with a semantic role,"Inappropriate aria-roledescription attribute values that conflict
  with an element's implied or explicit role value can interfere
  with the accessibility of the web page. A conflicting
  aria-roledescription attribute value may result in no effect on
  the accessibility of the application and may trigger behavior that disables
  accessibility for entire portions of an application.


  When aria-roledescription> attributes are applied to HTML
  elements not in accordance with WAI-ARIA 1.1, semantics conflict between the
  aria-roledescription value and the implicit or explicit element
  role value which may result in assistive technology products
  reporting nonsensical user interface (UI) information that does not correctly
  represent the intended UI experience.","Ensures that the aria-roledescription attribute is only used on
  elements with an implicit or explicit role values.","Blind, Deafblind, Mobility",Ensure aria-roledescription is only used on elements with an implicit or explicit role,Serious,"cat.aria, wcag2a, wcag412, EN-301-549, EN-9.4.1.2, deprecated","failure, needs review",
meta-viewport-large,Users should be able to zoom and scale the text up to 500%,"The user-scalable=""no"" parameter inside the
  content attribute of
  <meta name=""viewport""> element disables zooming on a page.
  The maximum-scale parameter limits the amount the user can zoom.
  This is problematic for people with low vision who rely on screen magnifiers
  to properly see the contents of a web page.


  Users with partial vision and low vision often choose to enlarge the fonts on
  their browser to make text on the web easier to read. The browser's viewport
  focus is everything visible in the browser window at a given moment. If the
  user maximizes the browser to full size on a high-resolution monitor, the
  viewport focus area is large and may include the entire web page.


  If the browser window is small, the viewport focus area includes only a small
  part of the web page. The browser's viewport focus does not affect the
  programmatic focus. Users can scroll up and down the web page, but the
  programmatic focus does not follow the viewport. The Web Content Accessibility
  Guidelines calls for developers to design pages so that they support resize up
  to 200%; however, it is a best practice to require 5x zoom.","The document must not use the user-scalable=""no"" parameter in the
  <meta name=""viewport""> element because it disables text
  scaling and zooming which is essential to users with low vision.",Low Vision,"Ensures <meta name=""viewport""> can scale a significant amount",Minor,"cat.sensory-and-visual-cues, best-practice",failure,
meta-viewport,Zooming and scaling must not be disabled,"The user-scalable=""no"" parameter inside the
  content attribute of
  <meta name=""viewport""> element disables zooming on a page.
  The maximum-scale parameter limits the amount the user can zoom.
  This is problematic for people with low vision who rely on screen magnifiers
  to properly see the contents of a web page.


  Users with partial vision and low vision often choose to enlarge the fonts on
  their browser to make text on the web easier to read. The browser's viewport
  focus is everything visible in the browser window at a given moment.
  Maximizing the browser to full size on a high-resolution monitor creates a
  large the viewport focus area and may include the entire web page.


  If the browser window is small, the viewport focus area only includes a small
  part of the web page. The browser's viewport focus does not affect the
  programmatic focus. Users can scroll up and down the web page, but the
  programmatic focus does not follow the viewport. The Web Content Accessibility
  Guidelines calls for developers to design pages so that they support resize up
  to 200%.


  Ensures that the user-scalable=""no"" parameter is not present in
  the <meta name=""viewport""> element and the
  maximum-scale parameter is not less than 2.","The document must not use the user-scalable=""no"" parameter in the
  <meta name=""viewport""> element because it disables text
  scaling and zooming which is essential to users with low vision.",Low Vision,"Ensures <meta name=""viewport""> does not disable text scaling and zooming",Critical,"cat.sensory-and-visual-cues, wcag2aa, wcag144, EN-301-549, EN-9.1.4.4, ACT",failure,b4f0c3
